atr_stop_mult,atr_tp_mult,avg_r,ema_fast,ema_slow,max_drawdown,near_ema_pct,profit_factor,sharpe,total_pnl,trades,win_rate
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.02,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.03,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,34,8.91999999999993,0.05,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.02,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.03,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,34,8.91999999999993,0.05,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.02,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.03,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,34,8.91999999999993,0.05,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.02,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.03,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,34,8.91999999999993,0.05,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.02,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.03,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,2.0,-0.24301968390783468,13,55,8.91999999999993,0.05,0.6441875401412994,-0.7075921382703028,-5.539999999999935,20,15.0
1.0,3.0,-0.28286987117375284,13,55,8.91999999999993,0.02,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,55,8.91999999999993,0.03,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.0,3.0,-0.28286987117375284,13,55,8.91999999999993,0.05,0.5465639049454086,-1.0281912239083575,-7.059999999999945,20,15.0
1.5,2.0,-0.1196846272909835,13,55,8.91999999999993,0.02,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,55,8.91999999999993,0.03,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,2.0,-0.1196846272909835,13,55,8.91999999999993,0.05,0.6852922286448331,-0.6180197134238176,-4.89999999999992,20,15.0
1.5,3.0,-0.09328130907779741,13,55,8.91999999999993,0.02,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,55,8.91999999999993,0.03,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.5,3.0,-0.09328130907779741,13,55,8.91999999999993,0.05,0.651894669235712,-0.744775497584039,-5.419999999999931,20,15.0
1.0,2.0,-0.16419088506567867,21,34,6.5999999999999375,0.02,0.7505995203836959,-0.4040317447541893,-3.1199999999999477,15,13.333333333333334
1.0,2.0,-0.29642336084145626,21,34,9.38999999999993,0.03,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.0,2.0,-0.29642336084145626,21,34,9.38999999999993,0.05,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.0,3.0,-0.21732446808690292,21,34,6.5999999999999375,0.02,0.6290967226219039,-0.6867340536159716,-4.639999999999958,15,13.333333333333334
1.0,3.0,-0.33837092638452804,21,34,9.38999999999993,0.03,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.0,3.0,-0.33837092638452804,21,34,9.38999999999993,0.05,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.5,2.0,-0.10946059004378444,21,34,6.5999999999999375,0.02,0.7505995203836959,-0.4040317447541893,-3.1199999999999477,15,13.333333333333334
1.5,2.0,-0.1976155738943033,21,34,9.38999999999993,0.03,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.5,2.0,-0.1976155738943033,21,34,9.38999999999993,0.05,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.5,3.0,-0.14488297872460024,21,34,6.5999999999999375,0.02,0.6290967226219039,-0.6867340536159716,-4.639999999999958,15,13.333333333333334
1.5,3.0,-0.22558061758968412,21,34,9.38999999999993,0.03,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.5,3.0,-0.22558061758968412,21,34,9.38999999999993,0.05,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.0,2.0,-0.16419088506567867,21,55,6.5999999999999375,0.02,0.7505995203836959,-0.4040317447541893,-3.1199999999999477,15,13.333333333333334
1.0,2.0,-0.29642336084145626,21,55,9.38999999999993,0.03,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.0,2.0,-0.29642336084145626,21,55,9.38999999999993,0.05,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.0,3.0,-0.21732446808690292,21,55,6.5999999999999375,0.02,0.6290967226219039,-0.6867340536159716,-4.639999999999958,15,13.333333333333334
1.0,3.0,-0.33837092638452804,21,55,9.38999999999993,0.03,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.0,3.0,-0.33837092638452804,21,55,9.38999999999993,0.05,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.5,2.0,-0.10946059004378444,21,55,6.5999999999999375,0.02,0.7505995203836959,-0.4040317447541893,-3.1199999999999477,15,13.333333333333334
1.5,2.0,-0.1976155738943033,21,55,9.38999999999993,0.03,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.5,2.0,-0.1976155738943033,21,55,9.38999999999993,0.05,0.5622754491017979,-0.9268796001877074,-7.309999999999945,19,10.526315789473683
1.5,3.0,-0.14488297872460024,21,55,6.5999999999999375,0.02,0.6290967226219039,-0.6867340536159716,-4.639999999999958,15,13.333333333333334
1.5,3.0,-0.22558061758968412,21,55,9.38999999999993,0.03,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
1.5,3.0,-0.22558061758968412,21,55,9.38999999999993,0.05,0.47125748502994064,-1.2783030182485802,-8.829999999999956,19,10.526315789473683
